0,0,1,2,3,4
3,3,"('a', ('b', ('a', 'b')))",softsign,sub,87.83052884615384
4,4,"(('a', 'b'), ('a', ('b', ('a', 'b'))))",sigmoid,sub,87.83052884615384
5,5,"('b', (('a', 'b'), ('a', ('b', ('a', 'b')))))",elu,sub,87.83052884615384
0,0,"('a', 'b')",sigmoid,sub,81.88100961538461
1,1,"('b', ('a', 'b'))",elu,div,81.88100961538461
2,2,"('b', ('b', ('a', 'b')))",softsign,add,81.88100961538461
3,3,"(('a', 'b'), ('b', ('b', ('a', 'b'))))",sigmoid,mul,81.88100961538461
4,4,"(('b', ('a', 'b')), ('b', ('b', ('a', 'b'))))",softsign,mul,81.88100961538461
5,5,"(('b', ('a', 'b')), (('a', 'b'), ('b', ('b', ('a', 'b')))))",sigmoid,add,81.88100961538461
0,0,"('a', 'b')",elu,add,9.795673076923077
1,1,"('a', ('a', 'b'))",sigmoid,sub,9.795673076923077
2,2,"('b', ('a', ('a', 'b')))",softsign,div,9.795673076923077
3,3,"(('a', ('a', 'b')), ('b', ('a', ('a', 'b'))))",sigmoid,add,9.795673076923077
4,4,"('b', (('a', ('a', 'b')), ('b', ('a', ('a', 'b')))))",sigmoid,sub,9.795673076923077
5,5,"('a', ('b', ('a', ('a', 'b'))))",sigmoid,div,9.795673076923077
0,0,"('a', 'b')",softsign,mul,89.31290064102564
1,1,"('a', ('a', 'b'))",elu,mul,89.31290064102564
2,2,"('b', ('a', 'b'))",sigmoid,add,89.31290064102564
3,3,"('a', ('b', ('a', 'b')))",elu,mul,89.31290064102564
4,4,"('a', ('a', ('b', ('a', 'b'))))",sigmoid,sub,89.31290064102564
5,5,"('a', ('a', ('a', ('b', ('a', 'b')))))",softsign,sub,89.31290064102564
0,0,"('a', 'b')",sigmoid,mul,72.52604166666667
1,1,"('b', ('a', 'b'))",softsign,mul,72.52604166666667
2,2,"(('a', 'b'), ('b', ('a', 'b')))",sigmoid,add,72.52604166666667
3,3,"(('a', 'b'), (('a', 'b'), ('b', ('a', 'b'))))",sigmoid,div,72.52604166666667
4,4,"(('b', ('a', 'b')), (('a', 'b'), ('b', ('a', 'b'))))",softsign,mul,72.52604166666667
5,5,"(('b', ('a', 'b')), (('a', 'b'), (('a', 'b'), ('b', ('a', 'b')))))",elu,div,72.52604166666667
0,0,"('a', 'b')",softsign,sub,83.49358974358974
1,1,"('a', ('a', 'b'))",sigmoid,mul,83.49358974358974
2,2,"('a', ('a', ('a', 'b')))",sigmoid,add,83.49358974358974
3,3,"('b', ('a', ('a', 'b')))",softsign,add,83.49358974358974
4,4,"('a', ('a', ('a', ('a', 'b'))))",softsign,div,83.49358974358974
5,5,"(('a', ('a', 'b')), ('a', ('a', ('a', ('a', 'b')))))",elu,sub,83.49358974358974
0,0,"('a', 'b')",sigmoid,mul,9.805689102564102
1,1,"('a', ('a', 'b'))",softsign,add,9.805689102564102
2,2,"(('a', 'b'), ('a', ('a', 'b')))",softsign,div,9.805689102564102
3,3,"(('a', 'b'), (('a', 'b'), ('a', ('a', 'b'))))",elu,sub,9.805689102564102
4,4,"('a', ('a', ('a', 'b')))",softsign,add,9.805689102564102
5,5,"(('a', ('a', 'b')), (('a', 'b'), ('a', ('a', 'b'))))",elu,sub,9.805689102564102
0,0,"('a', 'b')",sigmoid,add,9.805689102564102
1,1,"('b', ('a', 'b'))",sigmoid,div,9.805689102564102
2,2,"('a', ('b', ('a', 'b')))",elu,mul,9.805689102564102
3,3,"(('a', 'b'), ('b', ('a', 'b')))",softsign,sub,9.805689102564102
4,4,"('a', ('a', ('b', ('a', 'b'))))",elu,sub,9.805689102564102
5,5,"((('a', 'b'), ('b', ('a', 'b'))), ('a', ('a', ('b', ('a', 'b')))))",elu,div,9.805689102564102
0,0,"('a', 'b')",softsign,div,9.795673076923077
1,1,"('a', ('a', 'b'))",sigmoid,div,9.795673076923077
2,2,"('a', ('a', ('a', 'b')))",elu,sub,9.795673076923077
3,3,"('b', ('a', ('a', 'b')))",elu,add,9.795673076923077
4,4,"(('a', 'b'), ('a', ('a', 'b')))",elu,add,9.795673076923077
5,5,"(('a', 'b'), (('a', 'b'), ('a', ('a', 'b'))))",sigmoid,sub,9.795673076923077
0,0,"('a', 'b')",sigmoid,sub,87.16947115384616
1,1,"('a', ('a', 'b'))",sigmoid,div,87.16947115384616
2,2,"('b', ('a', ('a', 'b')))",softsign,mul,87.16947115384616
3,3,"('a', ('a', ('a', 'b')))",sigmoid,mul,87.16947115384616
4,4,"(('a', 'b'), ('a', ('a', ('a', 'b'))))",softsign,sub,87.16947115384616
5,5,"(('a', 'b'), ('b', ('a', ('a', 'b'))))",elu,sub,87.16947115384616
0,0,"('a', 'b')",sigmoid,mul,9.795673076923077
1,1,"('b', ('a', 'b'))",sigmoid,div,9.795673076923077
2,2,"('b', ('b', ('a', 'b')))",softsign,mul,9.795673076923077
3,3,"('b', ('b', ('b', ('a', 'b'))))",elu,add,9.795673076923077
4,4,"(('a', 'b'), ('b', ('b', ('b', ('a', 'b')))))",elu,mul,9.795673076923077
5,5,"(('b', ('a', 'b')), ('b', ('b', ('b', ('a', 'b')))))",softsign,add,9.795673076923077
0,0,"('a', 'b')",softsign,add,88.77203525641026
1,1,"('b', ('a', 'b'))",softsign,sub,88.77203525641026
2,2,"('b', ('b', ('a', 'b')))",sigmoid,sub,88.77203525641026
3,3,"(('b', ('a', 'b')), ('b', ('b', ('a', 'b'))))",sigmoid,sub,88.77203525641026
4,4,"('a', (('b', ('a', 'b')), ('b', ('b', ('a', 'b')))))",softsign,sub,88.77203525641026
5,5,"(('a', 'b'), ('b', ('b', ('a', 'b'))))",softsign,mul,88.77203525641026
0,0,"('a', 'b')",sigmoid,sub,9.815705128205128
1,1,"('b', ('a', 'b'))",softsign,sub,9.815705128205128
2,2,"('a', ('a', 'b'))",sigmoid,mul,9.815705128205128
3,3,"('b', ('a', ('a', 'b')))",elu,add,9.815705128205128
4,4,"('b', ('b', ('a', 'b')))",softsign,div,9.815705128205128
5,5,"('b', ('b', ('a', ('a', 'b'))))",softsign,div,9.815705128205128
0,0,"('a', 'b')",softsign,add,83.73397435897436
1,1,"('a', ('a', 'b'))",softsign,mul,83.73397435897436
2,2,"('b', ('a', 'b'))",softsign,add,83.73397435897436
3,3,"('a', ('b', ('a', 'b')))",elu,add,83.73397435897436
4,4,"('b', ('b', ('a', 'b')))",elu,mul,83.73397435897436
